V_LA,V_LV,V_RA,V_RV,P_LV,P_RV,P_LA,P_RA,Q_MV,Q_AV,Q_TV,Q_PV,P_Ar_Sys,P_Ven_Sys,P_Ar_Pul,P_Ven_Pul,Q_Ar_Sys,Q_Ven_Sys,Q_Ar_Pul,Q_Ven_Pul
107.12196215845744,147.2370349051637,73.44064645633003,131.06539119906276,21.047406981032744,5.353269559953138,22.78738689189887,7.559839110576799,229.83002681654406,-0.001157229765847387,292.0398291308849,-0.0002802103598543756,107.8304815783728,37.11568425821719,26.354446372910033,24.168027036509717,84.48410286689725,92.48629448691831,70.22283118341353,59.387558288455224
106.95125821123506,147.46643357617137,73.24042600489581,131.35805997768426,21.093286715234274,5.3679029988842135,22.826606704082785,7.58371364593858,228.9420762506984,-0.0011560550590243898,293.2719418684107,-0.00027995924978544817,107.78825101610538,37.11560437742499,26.35024499408649,24.168456593780725,84.43374723092637,92.407886868098,70.10068389350685,58.00136546333608
106.78011739206784,147.69489274052555,73.03895024208298,131.6519067977449,21.13897854810511,5.382595339887246,22.864866938988918,7.606834751181736,227.95124043629784,-0.00115488319293514,294.3957468297261,-0.000279707452511873,107.74604562515161,37.115524765915104,26.346050972699764,24.168933098934943,84.38342120850169,92.33177420928429,69.97709849137675,56.634942340279814
106.6086620513904,147.92231012860736,72.83633019082197,131.94682296025127,21.184462025721473,5.397341148012564,22.902156497763382,7.629191297410371,226.85876678208533,-0.0011537144400786137,295.41048477327956,-0.00027945504163648334,107.70386539070039,37.1154454007444,26.341864394470583,24.169455746266436,84.3331248052438,92.25798786334884,69.85208830127048,55.28890677455464
106.43701385827399,148.1485847584555,72.63267758242294,132.24269906887505,21.229716951691103,5.412134953443753,22.938465128851647,7.650773042615488,225.66598134233067,-0.0011525490695202909,296.3155193620105,-0.0002792020912159695,107.6617102979394,37.11536625885924,26.337685344295064,24.170023707877426,84.28285802751542,92.18657343118115,69.72566757068599,53.963853893071104
106.2652937031223,148.37361701086152,72.4281047841409,132.5394251511054,21.274723402172306,5.42697125755527,22.973783414917946,7.671570633071785,224.37428507058266,-0.0011513873466918948,297.1103365418133,-0.00027894867567936933,107.61958033205225,37.11528731660846,26.333513906188525,24.170636134545145,84.2326208821826,92.11755783111275,69.5978514513356,52.660355940290295
106.09362159895073,148.59730870443855,72.22272463625087,132.83689078186143,21.31946174088771,5.441844539093072,23.0081027576714,7.69157559303501,222.9851497950823,-0.0011502295331912344,297.7945423437188,-0.00027869486974495554,107.57747547821938,37.1152085501365,26.329350163232217,24.171292156641105,84.18241337672728,92.0509726547427,69.46865598328878,51.37896220572185
105.92211659168584,148.81956316276452,72.01665033622352,133.13498520050075,21.363912632552907,5.456749260025038,23.041415363042738,7.710780317956512,221.50011445231632,-0.001149075886603132,298.3678611990498,-0.0002784407483415398,107.53539572161553,37.11512993537149,26.32519419752122,24.17199088500843,84.13223551919835,91.98685169547157,69.33809807671535,50.12019897581637
105.75089667124804,149.0402852805303,71.80999535066958,133.4335974295498,21.40805705610606,5.47167987147749,23.073714224870812,7.729178069227847,219.92078114847746,-0.001147926660323092,298.8301344471042,-0.0002781863865286284,107.49334104741284,37.11505144771861,26.321046090111803,24.172731411847664,84.08208731804984,91.9252095580134,69.2061954911826,48.884569471480994
105.58007868625985,149.25938158477143,71.60287323787901,133.73261639080553,21.451876316954287,5.486630819540277,23.104993107820576,7.74676295717881,218.24881124961667,-0.001146782103393983,299.1813172941938,-0.00027793185941837043,107.45131144077844,37.11497306267359,26.316905920972335,24.173512811648482,84.0319687823375,91.8660792053748,69.07296681903375,47.67255394185855
105.40977826592747,149.47676029139055,71.39539759113069,134.03193101640164,21.49535205827811,5.501596550820082,23.13524653040021,7.763529936172636,216.48592161067052,-0.0011456424603553557,299.42147741917034,-0.0002776772421008542,107.40930688687533,37.114894755278996,26.312773768933393,24.17433414202982,83.98187992146347,91.80947549471583,68.93843146240117,46.484609634058025
105.24010974128662,149.6923313599376,71.18768189473705,134.33143036226735,21.538466271987524,5.516571518113368,23.164469746344654,7.779474788256651,214.6338806332122,-0.0011445079710973205,299.5507920371061,-0.0002774226095678318,107.3673273708597,37.114816500429235,26.308649711639422,24.175194444667977,83.9318207452488,91.75541298983507,68.80260961369795,45.32117091911663
105.07118607409393,149.90600654197092,70.97983939983732,134.63100371466507,21.581201308394185,5.531550185733254,23.192658726330027,7.794594107475718,212.69450453857792,-0.0011433788707316565,299.56954509748493,-0.00027716803664109353,107.32537287788449,37.114738273047166,26.304533825503494,24.17609274617687,83.88179126396649,91.70391564783121,68.66552223527933,44.18264943147255
104.90311878807645,150.117699428114,70.77198306661305,134.93054069616585,21.623539885622804,5.5465270348082925,23.21981013888099,7.808885290437066,210.66965356826367,-0.0011422553894662928,299.47812531964684,-0.00027691359790119714,107.2834433930967,37.11466004760231,26.300426185660125,24.177028058950103,83.83179148810565,91.65498436237984,68.52719103492397,43.06943412256541
104.73601790346115,150.3273254895101,70.56422539993264,135.22993136940974,21.66546509790202,5.561496568470488,23.24592133073173,7.822346513090536,208.56122826097032,-0.0011411377524947832,299.2770224051048,-0.0002766593676177318,107.24153890163839,37.114581798716614,26.296326865922588,24.177999382087044,83.78182142856913,91.60863414710535,68.38763844666566,41.98189154441987
104.56999187705179,150.53480211632888,70.35667837909462,135.5290663358273,21.706960423265777,5.5764533167913655,23.270990307252724,7.834976717037946,206.37116581713124,-0.001140026179893612,298.9668245539759,-0.00027640541968292716,107.19965938864432,37.11450350088011,26.292235938739587,24.179005702222124,83.73188109651812,91.56487439209842,68.24688760672946,40.92036599317041
104.40514754485942,150.74004865315982,70.14945336529325,135.8278368330308,21.748009730631964,5.59139184165154,23.295015712296394,7.846775591972358,204.10143646912468,-0.0011389208865278488,298.54821547428656,-0.0002761518275461828,107.15780483924523,37.11442512840201,26.28815347515374,24.180045994373817,83.68197050331574,91.52370423036294,68.10496233000195,39.88517971481129
104.24159006870198,150.94298642964884,69.94266098014803,136.12613482895773,21.788597285929768,5.606306741447887,23.317996807880032,7.857743553417941,201.75403995675904,-0.001137822081969434,298.02197078636567,-0.00027589866415077843,107.1159752385654,37.11434665568423,26.284079544761987,24.181119222822023,83.63208966059072,91.485128549906,67.96188708829693,38.87663322423889
