Volume,Pressure
29.45454545454545, 3.4214726450020625
31.81818181818182, 2.7794323323735055
34.90909091, 2.2252570958453357
37.81818181818182, 1.8527354997943228
40.72727272727273, 1.5707116412998823
42.90909090909091, 1.3818181818181818
45.27272727272727, 1.3732620320855633
48, 1.2728918140682894
50.54545454545455, 1.1731797614150545
53.27272727272728, 1.1633072809543417
55.81818181818181, 1.1540929658576737
58.18181818181818, 1.1455368161250565
60.90909090909091, 1.2261620732209042
63.454545454545446, 1.307445495680787
65.63636363636364, 1.2995475113122144
68.54545454545455, 1.470012340600581
71.09090909, 1.6417935006170385
73.45454545454545, 1.7237350884409732
75.81818181818181, 1.8961744138214802
78.54545454545455, 2.2482928835870055
80.90909091, 2.3302344714109515
82.90909091, 2.413492389962983
85.27272727272727, 2.5859317153434827
87.45454545454547, 2.8495269436445962
90, 2.930810366104491
92.36363636363637, 3.1937474290415553
94.72727272727275, 3.547182229535171
97.09090909, 3.7196215549156726
99.09090909, 3.893377211024266
101.27272727272728, 4.337967914438499
103.0909090909091, 4.602879473467715
105.27272727272728, 4.866474701768826
106.90909090909092, 5.222542163718635
108.72727272727275,5.487453723
110.54545454545455, 5.842863019333614
112.54545454545456,6.107116413
113.63636363636363, 6.4651583710407285
114.54545454545455, 6.642863019333614
114.54545454545456, 7.366844919786098
114.54545454545455, 8.452817770464835
114.54545454545455, 9.357795146030442
114.54545454545455, 10.443767996709179
114.54545454545456, 11.439243109831358
114.54545454545455, 12.344220485396967
114.72727272727273, 13.339037433155093
114.36363636363637, 14.426326614561907
113.81818181818183, 15.423776223776228
113.0909090909091, 16.60287947346771
112.36363636363637, 17.60098724804607
111.45454545454547, 18.690250925545044
110.36363636363635, 19.689675030851504
108.90909090909092, 20.780913204442612
107.27272727272727, 21.78231180584123
105.81818181818181, 22.692554504319222
104, 23.694611271081857
102.00000000000001, 24.69732620320856
99.63636363636363, 25.701357466063346
97.27272727272728, 26.524393253805023
94.36363636363635, 27.258905800082275
92.18181818181817, 27.900287947346772
89.81818182, 28.451830522418753
87.09090909, 29.004689428218835
83.09090909, 29.65265322912382
80, 29.93533525298231
76.90909091, 30.30851501439737
73.99999999999999, 30.409543397778698
70.54545454545455, 30.422048539695602
68, 30.43126285479227
65.63636363636364, 30.258823529411767
63.63636363636363, 30.175565610859735
61.27272727272727, 29.822130810366108
58.90909091, 29.559193747429042
55.63636363636363, 29.028054298642537
52.72727272727273, 28.314603044014806
50.54545454545455, 27.779514603044014
47.81818181818181, 27.246400658165363
45.636363636363626, 26.62081447963801
43.636363636363626, 25.72307692307692
41.81818181818181, 25.096174413821473
39.63636363636364, 24.380090497737566
37.45454545454545, 23.392513368983963
35.636363636363626, 22.40361990950226
33.99999999999999, 21.595063759769644
32.36363636363636, 20.424516659810777
31.63636363636363, 19.522171945701356
30.181818181818176, 18.71295763060469
29.636363636363633, 17.538461538461537
29.272727272727266,16.45380502
29.272727272727263, 15.458329905388732
29.090909090909083, 14.373015220074041
29.090909090909086, 12.925051419169067
29.090909090909086, 11.56758535582065
29.09090909090909, 10.300617030028796
29.27272727272727, 9.032990538872896
29.272727272727266,7.675524476
29.09090909090909, 6.318716577540111
29.272727272727266, 4.9605923488276495
29.45454545454545, 3.4214726450020625
