P_LV,P_RV,V_LV,V_RV
21.047406981032744,5.353269559953138,147.2370349051637,131.06539119906276
21.093286715234274,5.3679029988842135,147.46643357617137,131.35805997768426
21.13897854810511,5.382595339887246,147.69489274052555,131.6519067977449
21.184462025721473,5.397341148012564,147.92231012860736,131.94682296025127
21.229716951691103,5.412134953443753,148.1485847584555,132.24269906887505
21.274723402172306,5.42697125755527,148.37361701086152,132.5394251511054
21.31946174088771,5.441844539093072,148.59730870443855,132.83689078186143
21.363912632552907,5.456749260025038,148.81956316276452,133.13498520050075
21.40805705610606,5.47167987147749,149.0402852805303,133.4335974295498
21.451876316954287,5.486630819540277,149.25938158477143,133.73261639080553
21.49535205827811,5.501596550820082,149.47676029139055,134.03193101640164
21.538466271987524,5.516571518113368,149.6923313599376,134.33143036226735
21.581201308394185,5.531550185733254,149.90600654197092,134.63100371466507
21.623539885622804,5.5465270348082925,150.117699428114,134.93054069616585
21.66546509790202,5.561496568470488,150.3273254895101,135.22993136940974
21.706960423265777,5.5764533167913655,150.53480211632888,135.5290663358273
21.748009730631964,5.59139184165154,150.74004865315982,135.8278368330308
21.788597285929768,5.606306741447887,150.94298642964884,136.12613482895773
21.828707757670532,5.621192655578579,151.14353878835266,136.42385311157156
21.868326221950525,5.636044268816737,151.34163110975263,136.72088537633473
21.90743816648114,5.650856315521357,151.53719083240568,137.01712631042713
21.94602949417829,5.66562358362001,151.73014747089144,137.3124716724002
21.98408652623546,5.680340918452591,151.92043263117728,137.6068183690518
22.02159600422728,5.695003226461274,152.1079800211364,137.9000645292255
22.05854509185761,5.709605478643901,152.29272545928805,138.19210957287802
22.09492137629277,5.724142713850736,152.47460688146384,138.48285427701472
22.130712868517026,5.73861004193374,152.65356434258513,138.7722008386748
22.16590800341409,5.753002646662323,152.82954001707043,139.06005293324645
22.200495639559904,5.767315788465959,153.00247819779952,139.34631576931918
22.234465058031446,5.7815448070371644,153.17232529015723,139.6308961407433
22.267805961011312,5.795685123713124,153.33902980505655,139.91370247426246
22.300508470246253,5.809732243668048,153.50254235123126,140.19464487336094
22.33256312453115,5.823681757979002,153.66281562265573,140.47363515958003
22.363960877023146,5.83752934548251,153.81980438511573,140.7505869096502
22.394693092591666,5.851270774438118,153.97346546295833,141.02541548876235
22.424751544192635,5.864901904071309,154.12375772096317,141.29803808142617
